지점명,시각 (YYYY-MM-DD),월평균 일 최고기온 (°C),월평균 일 최저기온 (°C),월별 일 최고기온 (°C),월별 일 최저기온(°C),월 총 강수량 (mm),월평균 일 태양복사량 (MJ/m^2)
VIC_Snowtown,2011-01-01,32.7,14.9,43.4,7.8,9.4,27.9
VIC_Snowtown,2011-02-01,31,15.4,39.6,9,80,22
VIC_Snowtown,2011-03-01,26.4,12.6,36.7,5.5,48.8,17.4
VIC_Snowtown,2011-04-01,24.4,9.2,32.3,4.4,8.6,15.6
VIC_Snowtown,2011-05-01,18.6,7.3,25.6,-0.3,31,10
VIC_Snowtown,2011-06-01,16.6,5.8,20.7,-0.8,37.6,8.9
VIC_Snowtown,2011-07-01,15.6,5.1,22.4,-2.2,31.2,9
VIC_Snowtown,2011-08-01,17.7,5.3,26.1,-1.2,37.8,12.3
VIC_Snowtown,2011-09-01,21.8,4.7,32,-0.6,14,17
VIC_Snowtown,2011-10-01,23.8,8.4,35.4,1.4,37.6,19.2
VIC_Snowtown,2011-11-01,29.1,11.3,39.1,2.9,41,23.6
VIC_Snowtown,2011-12-01,30.1,12.7,40.3,7.7,72.6,26.7
VIC_Snowtown,2012-01-01,32.4,15.6,42.1,8.1,11.6,26.6
VIC_Snowtown,2012-02-01,30,13.9,40.2,8.1,29.2,21.6
VIC_Snowtown,2012-03-01,27.7,12.1,36.2,7.4,45.8,20.8
VIC_Snowtown,2012-04-01,25.5,10,35.3,4.6,6.2,15.5
VIC_Snowtown,2012-05-01,18.9,5.8,28.2,0.1,37,10.4
VIC_Snowtown,2012-06-01,15.2,5.4,19.6,-2.6,44.6,9
VIC_Snowtown,2012-07-01,14.9,4.5,18.3,-0.9,35.6,9.4
VIC_Snowtown,2012-08-01,16.4,4.3,23.4,-1.6,28.2,12.4
VIC_Snowtown,2012-09-01,21.5,4.7,30.6,-1.8,18.4,17.5
VIC_Snowtown,2012-10-01,25.9,6.6,35.2,0.3,8.4,21
VIC_Snowtown,2012-11-01,29.6,11.4,39.9,3.4,9,25.1
VIC_Snowtown,2012-12-01,30.6,13.1,43.7,5.8,17.8,29.7
VIC_Snowtown,2013-01-01,32.4,13.7,45.4,7.7,2.6,27.9
VIC_Snowtown,2013-02-01,32.3,15.6,39.5,10.1,18.4,25.1
VIC_Snowtown,2013-03-01,29.1,14.8,38.1,7.3,6.2,19.3
VIC_Snowtown,2013-04-01,24.9,10.6,32.4,6.1,23.2,15
VIC_Snowtown,2013-05-01,21.4,9.8,30.9,3.6,48,10.6
VIC_Snowtown,2013-06-01,15.6,6.5,19.8,1.2,110.6,7.9
VIC_Snowtown,2013-07-01,15.4,5.8,19.2,0.2,53.8,9.5
VIC_Snowtown,2013-08-01,16.8,5.7,24.2,0.1,38.8,11.8
VIC_Snowtown,2013-09-01,22.3,7.5,28.9,1.2,22.4,16.1
VIC_Snowtown,2013-10-01,24.7,6.5,38.6,-0.1,15.4,21.2
VIC_Snowtown,2013-11-01,27.3,8.1,40.4,2.1,4.6,23.4
VIC_Snowtown,2013-12-01,30.8,11.9,43.8,4.9,21.6,25.1
VIC_Snowtown,2014-01-01,34.3,14.5,45.5,7.9,5.8,27.5
VIC_Snowtown,2014-02-01,31.7,14.6,44.7,7.6,82.8,23.7
VIC_Snowtown,2014-03-01,29,11.5,36.9,5.8,3.2,19.3
VIC_Snowtown,2014-04-01,24,10.6,37.6,2.9,79.4,13.3
VIC_Snowtown,2014-05-01,21.4,9.4,28.1,1.2,33.6,9.9
VIC_Snowtown,2014-06-01,16.3,7,19.5,2.8,70.6,8.5
VIC_Snowtown,2014-07-01,14.8,4.8,18.2,-0.8,52,8.8
VIC_Snowtown,2014-08-01,16.8,1.5,23.5,-2.7,6.4,12.8
VIC_Snowtown,2014-09-01,21.5,4.4,31.3,-0.6,14.4,16.9
VIC_Snowtown,2014-10-01,28.4,7.4,39,-1.3,1,21.5
VIC_Snowtown,2014-11-01,29.6,10.3,40.6,3.6,20.2,22.4
VIC_Snowtown,2014-12-01,29.7,11.3,38.8,6.5,5,27.8
VIC_Snowtown,2015-01-01,30.2,14.4,43,8.5,57.6,25.5
VIC_Snowtown,2015-02-01,34.2,14.4,42.8,8.4,0,25.6
VIC_Snowtown,2015-03-01,27.3,11.1,34.5,4.7,8.4,19.1
VIC_Snowtown,2015-04-01,21.8,8,32.9,3.6,54,13.1
VIC_Snowtown,2015-05-01,19,7.5,27.9,2.6,28.2,10.5
VIC_Snowtown,2015-06-01,16.2,4.9,21.5,-2.2,17.6,9
VIC_Snowtown,2015-07-01,14.6,3.8,17.8,-1.8,25.2,9.2
VIC_Snowtown,2015-08-01,15.7,4.2,20.6,-0.8,50,11.8
VIC_Snowtown,2015-09-01,19.6,3.6,28.4,-1,11.6,17.6
VIC_Snowtown,2015-10-01,29.6,10.1,37.3,2.2,-99.9,20.9
VIC_Snowtown,2015-11-01,29,11.7,40.8,3.5,49.2,25.3
VIC_Snowtown,2015-12-01,34.1,14.1,45.2,4.4,0.2,28.5
VIC_Snowtown,2016-01-01,32.3,15.5,40.4,9.3,50.4,25.8
VIC_Snowtown,2016-02-01,31.4,13.7,40.9,8.7,2,25.5
VIC_Snowtown,2016-03-01,30.1,14.7,41.1,7,48.4,18.7
VIC_Snowtown,2016-04-01,25.7,9.7,31.7,3.3,8.8,15.6
VIC_Snowtown,2016-05-01,20.3,9.4,27.7,4.4,43,10.7
VIC_Snowtown,2016-06-01,15.7,6.9,21.1,0.8,66.6,9.1
VIC_Snowtown,2016-07-01,15.1,5.3,22.3,-1.5,44,9.9
VIC_Snowtown,2016-08-01,16.9,3.9,23.2,-0.7,57.6,13.6
VIC_Snowtown,2016-09-01,17.2,5.4,23.1,1.1,125.4,15
VIC_Snowtown,2016-10-01,21.2,6.6,30.5,-0.3,30.6,19.3
VIC_Snowtown,2016-11-01,27.1,8.2,38.1,1.9,18,22.3
VIC_Snowtown,2016-12-01,30.7,11.9,42.2,3.3,58,23.4
VIC_Snowtown,2017-01-01,32.3,14.6,41.5,8.3,33.6,26.4
VIC_Snowtown,2017-02-01,30.9,13.2,45.4,6.6,29,21.7
VIC_Snowtown,2017-03-01,31.6,12.8,40,3.7,4.8,19.2
VIC_Snowtown,2017-04-01,24.5,9.9,32.6,4.6,48,12.9
VIC_Snowtown,2017-05-01,20.2,6.2,24.6,0,7.6,11
VIC_Snowtown,2017-06-01,17.6,1.9,20,-2.8,15.4,10
VIC_Snowtown,2017-07-01,16.3,4.7,23.1,-1.4,28,10.3
VIC_Snowtown,2017-08-01,15.9,3.6,22.9,-2,63.2,12.4
VIC_Snowtown,2017-09-01,20.3,5.9,31.3,0.2,22.6,16.8
VIC_Snowtown,2017-10-01,25.9,6.6,35.6,-0.7,13,20.4
VIC_Snowtown,2017-11-01,29.5,11.6,39.7,1.6,14.6,19.4
VIC_Snowtown,2017-12-01,29.9,11.8,40.8,5.1,40.2,25.1
VIC_Snowtown,2018-01-01,33.6,15.3,45.3,9.8,10.8,25.1
VIC_Snowtown,2018-02-01,32.9,14.3,42.4,6.1,2.4,22.4
VIC_Snowtown,2018-03-01,29.4,11.5,36.9,6,9,19.7
VIC_Snowtown,2018-04-01,28.5,10.7,38,4.6,9.2,15.1
VIC_Snowtown,2018-05-01,19.4,7.2,27,0.9,38.8,10.4
VIC_Snowtown,2018-06-01,16.4,3.8,21,-2.2,32,9.8
VIC_Snowtown,2018-07-01,16.7,4.6,22.2,-1.7,22.8,10.4
VIC_Snowtown,2018-08-01,17.6,5.1,25.8,-1.6,37.2,13
VIC_Snowtown,2018-09-01,20.4,2.2,28.2,-2.4,15.2,17.6
VIC_Snowtown,2018-10-01,26.5,8,37.2,0.4,5.2,19
VIC_Snowtown,2018-11-01,26.3,10,36.1,1.9,33.8,22.2
VIC_Snowtown,2018-12-01,32.4,14.7,45,6.4,10.4,25.3
VIC_Snowtown,2019-01-01,35.3,16,47.3,8.8,2.2,26.9
VIC_Snowtown,2019-02-01,32.3,13.4,41.6,6.1,3.4,25.4
VIC_Snowtown,2019-03-01,29.9,13.1,41.5,5,0.8,19.1
VIC_Snowtown,2019-04-01,26.1,9.2,34.6,2.6,2,14.6
VIC_Snowtown,2019-05-01,19.3,7.5,26.9,3.3,41,10.6
VIC_Snowtown,2019-06-01,16,4.7,23.5,-2.5,62.6,9.9
VIC_Snowtown,2019-07-01,16,5.1,21.2,-0.9,20,10.4
VIC_Snowtown,2019-08-01,16.2,2.3,21.9,-2.6,26.2,13.1
VIC_Snowtown,2019-09-01,21.9,4.3,31.9,-2.3,14.6,17.4
VIC_Snowtown,2019-10-01,27.2,7.7,39.2,-0.7,1.4,20.4
VIC_Snowtown,2019-11-01,27,9,43.5,2.5,11.4,24.2
VIC_Snowtown,2019-12-01,34.3,14,46.9,4.7,4.6,28.3
VIC_Snowtown,2020-01-01,31.7,13.7,44.6,6.4,23.6,26.6
VIC_Snowtown,2020-02-01,29.4,13.5,36.7,7.1,45.6,24.4
VIC_Snowtown,2020-03-01,27.9,11.4,36.8,6,10.8,18.2
VIC_Snowtown,2020-04-01,23.1,9.8,30.2,3.2,48,13.6
VIC_Snowtown,2020-05-01,18.3,6.3,24.3,-0.2,15.8,11.5
VIC_Snowtown,2020-06-01,16.3,3.7,20.9,-3.4,23.6,9.9
VIC_Snowtown,2020-07-01,16.6,1.6,20.7,-4.5,7.4,10.9
VIC_Snowtown,2020-08-01,16.4,4.8,24.5,-4.1,46.8,12.6
VIC_Snowtown,2020-09-01,22.4,7.2,30.9,-0.7,32.8,16.5
VIC_Snowtown,2020-10-01,23.8,9.7,33.2,2.3,69.4,18.6
VIC_Snowtown,2020-11-01,31.5,11.3,43.3,2,10.6,25.6
VIC_Snowtown,2020-12-01,28.6,11.7,38,6.1,46.8,26.3
VIC_Snowtown,2021-01-01,31.7,13.9,43.8,9.5,8.6,26.5
VIC_Snowtown,2021-02-01,30.3,13.4,39.4,6.8,6.6,23.9
VIC_Snowtown,2021-03-01,28.5,11.7,34,5.1,8,18.6
VIC_Snowtown,2021-04-01,25.2,8.5,34.4,2.5,4.8,14.2
VIC_Snowtown,2021-05-01,20.1,7.3,29.5,0.3,23.8,10.6
VIC_Snowtown,2021-06-01,16.4,7.3,22.4,2.6,50.4,9.4
VIC_Snowtown,2021-07-01,15.3,5.4,20.7,0.2,66.2,10.4
VIC_Snowtown,2021-08-01,17,4.5,25.3,-1.5,34.6,13.5
VIC_Snowtown,2021-09-01,21.7,4.3,30.9,-0.7,8.2,16.9
VIC_Snowtown,2021-10-01,24.2,6.3,34.8,-0.3,13,19.7
VIC_Snowtown,2021-11-01,25.5,10.5,35.5,4,73.4,20.1
VIC_Snowtown,2021-12-01,30.7,11.2,40,4.6,4,28.6
VIC_Snowtown,2022-01-01,31.8,16.3,40.8,8,41,23.7
VIC_Snowtown,2022-02-01,30.4,13.6,37.9,8.5,10.2,23.3
VIC_Snowtown,2022-03-01,29.9,13,36.8,7.4,0.8,19.7
VIC_Snowtown,2022-04-01,25.7,11,32.4,5.4,3.8,13.2
VIC_Snowtown,2022-05-01,19.8,6.6,24.2,0.2,39.4,11.2
VIC_Snowtown,2022-06-01,15.8,6.9,19.1,1.5,38.6,9.4
VIC_Snowtown,2022-07-01,15.1,3.9,21.9,-1.3,6.4,10.1
VIC_Snowtown,2022-08-01,16.4,6.2,22.1,0.4,46.4,12.4
VIC_Snowtown,2022-09-01,17.6,5.3,21.5,-0.2,65,15.9
VIC_Snowtown,2022-10-01,21.7,9.2,28.2,1,92.8,17.5
VIC_Snowtown,2022-11-01,24.8,9.6,34.9,4.1,56.8,22.3
VIC_Snowtown,2022-12-01,30.9,12.1,42.6,5.9,26,27
VIC_Snowtown,2023-01-01,32.9,14.3,42.5,7.7,8.2,25.8
VIC_Snowtown,2023-02-01,32.1,13.1,41.2,6.5,5,24.7
VIC_Snowtown,2023-03-01,28.2,11.4,37.5,6.3,9.2,18.3
VIC_Snowtown,2023-04-01,24,8.5,30.8,3.4,23.6,14.2
VIC_Snowtown,2023-05-01,19,6.6,25.8,0,30.2,10.5
VIC_Snowtown,2023-06-01,17,7.5,26.2,2.9,65,9.3
VIC_Snowtown,2023-07-01,15.5,4.7,18.3,-1.5,15.2,10.4
VIC_Snowtown,2023-08-01,18,4.2,26.1,-1.8,42.8,13.1
VIC_Snowtown,2023-09-01,23.7,5.3,33.5,-1,-99.9,19.1
VIC_Snowtown,2023-10-01,24.3,6,34.6,-0.2,6,20.7
VIC_Snowtown,2023-11-01,27.6,9.2,42.3,2.6,25.4,22.7
VIC_Snowtown,2023-12-01,28,13,40.8,6.1,80.6,24.1
VIC_Snowtown,2024-01-01,32.2,14.5,44,7.4,13.2,26.8
VIC_Snowtown,2024-02-01,33.6,12.9,42.5,7,0,25.1
VIC_Snowtown,2024-03-01,32.1,13.2,41.2,4.7,0.4,19.3
VIC_Snowtown,2024-04-01,22.5,6.5,28.5,1,1,14.4
VIC_Snowtown,2024-05-01,21.4,4.2,24.9,-2.2,9.2,12
VIC_Snowtown,2024-06-01,16,5.1,22,-0.3,43.6,9.2
VIC_Snowtown,2024-07-01,15.7,5,21.5,-1.3,35.8,10.9
VIC_Snowtown,2024-08-01,20,7.1,26.5,1.7,20.8,13.5
VIC_Snowtown,2024-09-01,21.3,4.7,31.3,-2,7,17.4
VIC_Snowtown,2024-10-01,26.9,8.6,33.9,1.8,40.2,21.6
VIC_Snowtown,2024-11-01,-99.9,-99.9,-99.9,-99.9,-99.9,23.2
VIC_Snowtown,2024-12-01,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
